class,number,section,time,room,prof,enrollment
 COMM 162 - Managerial Statistics ,3668,"006-LEC
Regular","Tu 10:00AM - 11:30AM
Th 8:30AM - 10:00AM","GOODES RM151
GOODES RM151","Sephton,Peter S
Sephton,Peter S",78
 COMM 310 - Environmental Accounting ,4651,"001-LEC
Regular","Tu 10:00AM - 11:30AM
Th 8:30AM - 10:00AM","GOODES RM 103
GOODES RM 103","Boland,George
Boland,George",19
 COMM 329 - Mgmt Of Financial Institutions ,3689,"001-LEC
Regular","Tu 10:00AM - 11:30AM
Th 8:30AM - 10:00AM","GOODES RM 101
GOODES RM 101","Cannon,William T
Cannon,William T",22
 COMM 351 - Leadership ,3654,"001-LEC
Regular","Tu 10:00AM - 11:30AM
Th 8:30AM - 10:00AM","GOODES RM 305
GOODES RM 305","Phelan,John
Phelan,John",48
 COMM 353 - Managing Across Cultures ,3670,"001-LEC
Regular","Tu 10:00AM - 11:30AM
Th 8:30AM - 10:00AM","GOODES RM304
GOODES RM304","Roy,Jean-Paul
Roy,Jean-Paul",53
 CURR 336 - History Teach Theory&Prac (IS) ,2415,"001-LEC
Education","TuTh 8:30AM - 10:30AM
TuTh 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
TuTh 8:30AM - 10:30AM","DUNCAN MCARTHUR RM A234
DUNCAN MCARTHUR RM A234
DUNCAN MCARTHUR RM A234
DUNCAN MCARTHUR RM A234","Bruno-Jofre,Rosa
Bruno-Jofre,Rosa
Bruno-Jofre,Rosa
Bruno-Jofre,Rosa",29
 CURR 352 - Physics Teach Theory&Prac (IS) ,2420,"001-LEC
Education","TuTh 8:30AM - 10:30AM
TuTh 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
TuTh 8:30AM - 10:30AM","DUNCAN MCARTHUR RM A335
DUNCAN MCARTHUR RM A335
DUNCAN MCARTHUR RM A335
DUNCAN MCARTHUR RM A335","Russell,Tom
Russell,Tom
Russell,Tom
Russell,Tom",9
 CURR 380 - Visual Arts (IS) ,2431,"001-LEC
Education","TuTh 8:30AM - 10:30AM
TuTh 8:30AM - 10:30AM
Mo 8:30AM - 10:30AM
TuTh 8:30AM - 10:30AM","DUNCAN MCARTHUR RM A330
DUNCAN MCARTHUR RM A330
DUNCAN MCARTHUR RM A330
DUNCAN MCARTHUR RM A330","Wilikinson,Alan
Wilikinson,Alan
Wilikinson,Alan
Wilikinson,Alan",15
 ECON 240 - Canadian Tax Policy ,1951,"001-LEC
Regular","Tu 10:00AM - 11:30AM
Th 8:30AM - 10:00AM","DUNNING RM14
DUNNING RM14","Stewart,Arthur E
Stewart,Arthur E",139
 ECON 320 - Macroeconomic Theory II ,1956,"001-LEC
Regular","Tu 10:00AM - 11:30AM
Th 8:30AM - 10:00AM","KINGSTON RM101
KINGSTON RM101","Kennedy,Michael
Kennedy,Michael",79
 ECON 426 - International Macroeconomics ,1975,"001-LEC
Regular","Tu 10:00AM - 11:30AM
Th 8:30AM - 10:00AM","MACDONALD RM2
MACDONALD RM2","Smith,Gregor W
Smith,Gregor W",41
 ELEC 470 - Computer System Architecture ,4993,"002-TUT
Regular",Th 8:30AM - 9:30AM,JEFFERY RM118,"Afsahi,Ahmad",39
 ELEC 483 - Microwave & Rf Circuits & Syst ,4995,"002-TUT
Regular",Th 8:30AM - 9:30AM,JEFFERY RM115,"Freundorfer,Alois Peter",18
 ENCH 323 - Biological Chemistry ,2732,"001-LEC
Regular","Tu 9:30AM - 10:30AM
Th 8:30AM - 9:30AM
Fr 10:30AM - 11:30AM","JEFFERY RM126
JEFFERY RM126
JEFFERY RM126","Ross,Avena
Ross,Avena
Ross,Avena",52
 ENGL 215B - Canadian Literature ,2013,"001-LEC
Regular","Tu 10:00AM - 11:30AM
Th 8:30AM - 10:00AM","MACINTOSH-CORRY RM B201
MACINTOSH-CORRY RM B201","Macfarlane,Heather C
Macfarlane,Heather C",88
 ENGL 306B - The Northern World: Vikings and Saxons ,2022,"001-LEC
Regular","Tu 10:00AM - 11:30AM
Th 8:30AM - 10:00AM","ELLIS RM319
ELLIS RM319","Wehlau,Ruth C
Wehlau,Ruth C",28
 ENGL 452 - Topics in Victorian Literature II ,2033,"001-SEM
Regular","Tu 10:00AM - 11:30AM
Th 8:30AM - 10:00AM","MACINTOSH-CORRY RM E230
MACINTOSH-CORRY RM E230","Bongie,Chris
Bongie,Chris",17
 FREN 241 - Histoire culturelle et littéraire de l'Ancien Régime ,2518,"001-LEC
Regular","Tu 10:00AM - 11:30AM
Th 8:30AM - 10:00AM","KINGSTON RM200
KINGSTON RM200","Rouget,Francois
Rouget,Francois",39
 GEOE 345 - Site Investigation & Geological Engineering Design ,5452,"002-LAB
Regular",Th 8:30AM - 10:30AM,MILLER RM210,"Fotopoulos,Georgia",31
 GEOE 464 - Visualization in Geosciences ,4118,"002-LAB
Regular",Th 8:30AM - 11:30AM,BRUCE RM234A,"Harrap,Rob M",6
" GEOL 238 - Surficial Processes, Sedimentation and Stratigraphy ",4084,"003-LAB
Regular",Th 8:30AM - 10:30AM,MILLER RM409,"Narbonne,Guy M",26
 GEOL 464 - Visualization in the Geosciences ,4080,"002-LAB
Regular",Th 8:30AM - 11:30AM,BRUCE RM234A,"Harrap,Rob M",6
" GNDS 125 - Gender, Race and Popular Culture ",2598,"002-TUT
Regular",Th 8:30AM - 9:30AM,KINGSTON RM308,Staff,19
" GNDS 125 - Gender, Race and Popular Culture ",2600,"004-TUT
Regular",Th 8:30AM - 9:30AM,ELLIS RM218,Staff,20
" GNDS 125 - Gender, Race and Popular Culture ",2601,"005-TUT
Regular",Th 8:30AM - 9:30AM,ONTARIO RM207,Staff,19
" GNDS 125 - Gender, Race and Popular Culture ",2602,"006-TUT
Regular",Th 8:30AM - 9:30AM,BIOSCI RM2109,Staff,17
" GNDS 125 - Gender, Race and Popular Culture ",2603,"007-TUT
Regular",Th 8:30AM - 9:30AM,MACINTOSH-CORRY RM D122,Staff,19
" GNDS 125 - Gender, Race and Popular Culture ",2604,"008-TUT
Regular",Th 8:30AM - 9:30AM,KINES & HLTH RM107,Staff,11
" GNDS 125 - Gender, Race and Popular Culture ",2606,"010-TUT
Regular",Th 8:30AM - 9:30AM,KINGSTON RM205,Staff,19
" GNDS 125 - Gender, Race and Popular Culture ",2607,"011-TUT
Regular",Th 8:30AM - 9:30AM,KINGSTON RM209,Staff,14
 GPHY 102 - Earth System Science ,2883,"006-TUT
Regular",Th 8:30AM - 9:30AM,MACINTOSH-CORRY RM E104,"Danby,Ryan,
Lamoureux,Scott",23
 GPHY 352 - Gender and the City ,2920,"001-LEC
Regular","Tu 10:00AM - 11:30AM
Th 8:30AM - 10:00AM","MILLER RM105
MILLER RM105","Giancarlo,Alexandra
Giancarlo,Alexandra",66
 HIST 122B - Making of the Modern World ,2755,"002-SEM
Regular",Th 8:30AM - 10:00AM,JEFFERY RM110,"Couchman,Michael",32
 HIST 122B - Making of the Modern World ,2759,"006-SEM
Regular",Th 8:30AM - 10:00AM,MACINTOSH-CORRY RM D216,"Wang,Jun",34
 HIST 124B - Canada in the World ,2767,"005-SEM
Regular",Th 8:30AM - 10:00AM,JEFFERY RM102,"Yager,Zane",30
 HIST 222 - Jewish and World Civilizations (since 1492) ,2802,"001-LEC
Regular","Tu 10:00AM - 11:30AM
Th 8:30AM - 10:00AM","BIOSCI RM1103
BIOSCI RM1103","Schedrin,Vassili
Schedrin,Vassili",51
 HIST 390B - Topics in History ,2781,"001-SEM
Regular",Th 8:30AM - 11:30AM,WALTER LIGHT RM212,"LeDuc,Emily",13
 HLTH 334 - The Politics of Health and Illness ,4157,"005-TUT
Regular",Th 8:30AM - 9:30AM,KINES & HLTH RM106,Staff,19
 KNPE 203 - The Art and Science of Coaching ,5644,"001-LEC
Regular","Tu 10:00AM - 11:30AM
Th 8:30AM - 10:00AM","MACDONALD RM4
MACDONALD RM4","Turnnidge,Jennifer
Turnnidge,Jennifer",47
 KNPE 345 - The Science and Methodology of Sport Training Conditioning Programs ,4180,"002-LAB
Regular",Th 8:30AM - 10:00AM,TBA,Staff,18
 LATN 110B - Introductory Latin ,1813,"003-TUT
Regular",Th 8:30AM - 9:30AM,THEOLOGICAL RM209,Staff,17
 LING 100B - Introduction to Linguistics ,4272,"001-LEC
Regular","Tu 10:00AM - 11:30AM
Th 8:30AM - 10:00AM","CHERNOFF AUD
CHERNOFF AUD","Bjorkman,Bronwyn
Bjorkman,Bronwyn",98
 LLCU 248 - Spanish American Cultural Contexts ,4282,"001-LEC
Regular","Tu 10:00AM - 11:30AM
Th 8:30AM - 10:00AM","KINGSTON RM108
KINGSTON RM108","Chamberlain,Daniel Frank
Chamberlain,Daniel Frank",37
 MATH 272 - Applications of Numerical Methods ,4332,"001-LEC
Regular","Mo 1:30PM - 2:30PM
We 11:30AM - 12:30PM
Th 8:30AM - 9:30AM","ELLIS AUD
ELLIS AUD
BIOSCI AUD","Avdeeva,Maria
Avdeeva,Maria
Avdeeva,Maria",210
 MATH 281 - Introduction to Real Analysis ,4339,"001-LEC
Regular","Tu 9:30AM - 10:30AM
Th 8:30AM - 9:30AM
Fr 10:30AM - 11:30AM","WALTER LIGHT RM205
WALTER LIGHT RM205
CHERNOFF AUD","Lewis,Andrew D
Lewis,Andrew D
Lewis,Andrew D",179
 MATH 385 - Life Contingencies ,4345,"001-LEC
Regular","Tu 10:00AM - 11:30AM
Th 8:30AM - 10:00AM","JEFFERY RM101
JEFFERY RM101","Staff
Staff",24
 MECH 350 - Automatic Control ,4452,"001-LEC
Regular","Tu 9:30AM - 10:30AM
Th 8:30AM - 9:30AM
Fr 10:30AM - 11:30AM","ELLIS AUD
ELLIS AUD
ELLIS AUD","Li,Qingguo
Li,Qingguo
Li,Qingguo",234
 MECH 455 - Computer Integrated Manufactur ,4484,"001-LEC
Regular","Tu 9:30AM - 10:30AM
Th 8:30AM - 9:30AM
Fr 10:30AM - 11:30AM","MCLAUGHLIN RM306
MCLAUGHLIN RM306
MCLAUGHLIN RM306","Zak,Gennady
Zak,Gennady
Zak,Gennady",29
 MECH 478 - Biomaterials ,5151,"001-LEC
Regular","Tu 9:30AM - 10:30AM
Th 8:30AM - 9:30AM
Fr 10:30AM - 11:30AM","BIOSCI RM1102
BIOSCI RM1102
BOTTER RM B147","Rainbow,Roshni Suresh
Rainbow,Roshni Suresh
Rainbow,Roshni Suresh",82
 MTHE 272 - Applications Numerical Methods ,4401,"001-LEC
Regular","Mo 1:30PM - 2:30PM
We 11:30AM - 12:30PM
Th 8:30AM - 9:30AM","ELLIS AUD
ELLIS AUD
BIOSCI AUD","Avdeeva,Maria
Avdeeva,Maria
Avdeeva,Maria",210
 MTHE 281 - Introduction To Real Analysis ,4396,"001-LEC
Regular","Tu 9:30AM - 10:30AM
Th 8:30AM - 9:30AM
Fr 10:30AM - 11:30AM","WALTER LIGHT RM205
WALTER LIGHT RM205
CHERNOFF AUD","Lewis,Andrew D
Lewis,Andrew D
Lewis,Andrew D",179
 MTHE 332 - Introduction To Control ,4420,"001-LEC
Regular","Tu 9:30AM - 10:30AM
Th 8:30AM - 9:30AM
Fr 10:30AM - 11:30AM","JEFFERY RM234
JEFFERY RM234
JEFFERY RM234","Gharesifard,Bahman
Gharesifard,Bahman
Gharesifard,Bahman",63
 MUSC 127B - Ear Training and Sight Singing I ,4519,"001-LAB
Regular","Tu 9:30AM - 10:30AM
Th 8:30AM - 9:30AM
Fr 10:30AM - 11:30AM","HARRISON-LECAINE RM124
HARRISON-LECAINE RM124
HARRISON-LECAINE RM124","Tormann,Cynthia
Tormann,Cynthia
Tormann,Cynthia",30
 NSCI 324 - Systems Neuroscience ,1136,"001-LEC
Regular","Tu 9:30AM - 10:30AM
Th 8:30AM - 9:30AM
Fr 10:30AM - 11:30AM","STIRLING RM A
STIRLING RM A
STIRLING RM A","Ferguson,Alastair V,
Munoz,Douglas Perry,
Scott,Stephen H
Ferguson,Alastair V,
Munoz,Douglas Perry,
Scott,Stephen H
Ferguson,Alastair V,
Munoz,Douglas Perry,
Scott,Stephen H",73
 NURS 209 - Gerontological Nursing ,4603,"001-LEC
Regular",Th 8:30AM - 11:30AM,STIRLING RM B,"Woo,Kevin Y",123
 PHIL 115B - Fundamental Questions ,5212,"002-TUT
Regular",Th 8:30AM - 9:30AM,ONTARIO RM209,"Davies,Jacqueline M",21
 PHIL 151 - Great Works of Philosophy ,4632,"001-LEC
Regular","Tu 9:30AM - 10:30AM
Th 8:30AM - 9:30AM","STIRLING AUD
STIRLING AUD","Smith,Mark C
Smith,Mark C",102
 PHIL 296 - Animals and Society ,4636,"001-LEC
Regular","Tu 10:00AM - 11:30AM
Th 8:30AM - 10:00AM","MILLER RM201
MILLER RM201","Milburn,Josh
Milburn,Josh",94
 PHYS 117B - Introductory Physics ,4674,"001-LEC
Regular","Tu 8:30AM - 9:30AM
Th 8:30AM - 9:30AM
Fr 9:30AM - 10:30AM","DUNCAN MCARTHUR RM B101
DUNCAN MCARTHUR RM B101
DUNCAN MCARTHUR RM B101","Topper,Anne
Topper,Anne
Topper,Anne",508
 PHYS 117B - Introductory Physics ,4678,"006-LAB
Regular","Th 8:30AM - 11:30AM
Th 8:30AM - 11:30AM","STIRLING RM409
STIRLING RM410","Staff
Staff",64
 POLS 212 - Canadian Politics ,5158,"007-TUT
Regular",Th 8:30AM - 9:30AM,MACINTOSH-CORRY RM C508,Staff,24
 POLS 385 - Quantitative Approaches to Political Studies ,5199,"007-TUT
Regular",Th 8:30AM - 9:30AM,JEFFERY RM157,Staff,11
 PROF 110B - Self as Teacher ,2560,"101-LEC
Education","Th 8:30AM - 10:30AM
Th 8:30AM - 10:30AM","DUNCAN MCARTHUR RM A241
DUNCAN MCARTHUR RM A242","Ogden,Holly Christine
Ogden,Holly Christine",77
 PSYC 100B - Principles of Psychology ,3407,"030-LAB
Regular",Th 8:30AM - 9:30AM,HUMPHREY RM131,Staff,25
 PSYC 100B - Principles of Psychology ,5286,"072-LAB
Regular",Th 8:30AM - 9:30AM,HUMPHREY RM132,Staff,24
 PSYC 215 - Sensation and Perception ,3472,"004-TUT
Regular","Th 8:30AM - 10:00AM
Th 8:30AM - 10:00AM
Th 8:30AM - 10:00AM
Th 8:30AM - 10:00AM
Th 8:30AM - 10:00AM
Th 8:30AM - 10:00AM
Th 8:30AM - 10:00AM","BOTTER RM B129
BOTTER RM B129
BOTTER RM B129
BOTTER RM B129
BOTTER RM B129
BOTTER RM B129
BOTTER RM B129","Troje,Nikolaus
Troje,Nikolaus
Troje,Nikolaus
Troje,Nikolaus
Troje,Nikolaus
Troje,Nikolaus
Troje,Nikolaus",11
 PSYC 215 - Sensation and Perception ,3476,"008-TUT
Regular","Th 8:30AM - 10:00AM
Th 8:30AM - 10:00AM
Th 8:30AM - 10:00AM
Th 8:30AM - 10:00AM
Th 8:30AM - 10:00AM
Th 8:30AM - 10:00AM","BOTTER RM B129
BOTTER RM B129
BOTTER RM B129
BOTTER RM B129
BOTTER RM B129
BOTTER RM B129","Troje,Nikolaus
Troje,Nikolaus
Troje,Nikolaus
Troje,Nikolaus
Troje,Nikolaus
Troje,Nikolaus",6
 PSYC 501B - Honours Thesis ,3370,"001-SEM
Regular","Tu 10:00AM - 11:30AM
Th 8:30AM - 10:00AM","HUMPHREY RM223
HUMPHREY RM223","Harkness,Kathryn Leslie
Harkness,Kathryn Leslie",19
 PSYC 501B - Honours Thesis ,3371,"002-SEM
Regular","Tu 10:00AM - 11:30AM
Th 8:30AM - 10:00AM","MACINTOSH-CORRY RM A309
MACINTOSH-CORRY RM A309","Castelhano,Monica
Castelhano,Monica",21
 RELS 393 - Buddhism in the Modern World ,1036,"001-SEM
Regular",Th 8:30AM - 11:30AM,DUNNING RM10,"Goldberg,Ellen",34
 SOCY 344 - Power and Change in Canada ,1222,"001-LEC
Regular","Tu 10:00AM - 11:30AM
Th 8:30AM - 10:00AM","CHERNOFF RM117
CHERNOFF RM117","Levine-Rasky,Cynthia B
Levine-Rasky,Cynthia B",68
 SPAN 112 - Beginning Spanish II ,4299,"004-LEC
Regular","Tu 10:00AM - 11:30AM
Th 8:30AM - 10:00AM","KINGSTON RM204
KINGSTON RM204","Lizano,Max Antonio
Lizano,Max Antonio",37
 CIVL 852 - Environmental Fluid Dynamics ,6056,"001-LEC
Regular","We 1:00PM - 2:30PM
Th 9:00AM - 10:30AM","STIRLING RM414
STIRLING RM412A","Boegman,Leon
Boegman,Leon",3
 EPID 901B - Advanced Epidemiology ,5957,"001-LEC
Regular",Th 9:00AM - 12:00PM,TBA,"Pickett,William L C",3
 MECH 863 - Materials Selection in Design ,6455,"001-SEM
Regular","Mo 10:30AM - 12:00PM
Th 9:00AM - 10:30AM","TBA
TBA","Pilkey,Keith
Pilkey,Keith",7
 APSC 112 - Electricity And Magnetism ,3807,"101-LEC
Regular","Mo 1:30PM - 2:30PM
Tu 10:30AM - 11:30AM
Th 9:30AM - 10:30AM","STIRLING AUD
STIRLING AUD
STIRLING AUD","Stotz,James
Stotz,James
Stotz,James",218
 APSC 200 - Engineering Design & Practice II ,3934,"205-STD
Regular","TuTh 9:30AM - 11:30AM
TuTh 9:30AM - 11:30AM","BEAMISH-MUNRO RM313A
BEAMISH-MUNRO RM313B","Lai,Yongjun
Lai,Yongjun",40
 BIOL 441 - Molecular Genetics ,1776,"001-LSM
Regular","Mo 8:30AM - 9:30AM
Tu 10:30AM - 11:30AM
Th 9:30AM - 10:30AM","BIOSCI RM2109
BIOSCI RM2109
BIOSCI RM2109","Bendena,William George,
Walker,Virginia Katrina
Bendena,William George,
Walker,Virginia Katrina
Bendena,William George,
Walker,Virginia Katrina",20
 CHEE 319 - Process Dynamics & Control ,2282,"001-LEC
Regular","Mo 8:30AM - 9:30AM
Tu 10:30AM - 11:30AM
Th 9:30AM - 10:30AM","STIRLING RM A
STIRLING RM A
STIRLING RM A","Guay,Martin
Guay,Martin
Guay,Martin",146
 CHEM 112B - General Chemistry ,2646,"001-LEC
Regular","Mo 8:30AM - 9:30AM
Th 9:30AM - 10:30AM
Mo 8:30AM - 9:30AM
Th 9:30AM - 10:30AM
Mo 8:30AM - 9:30AM
Th 9:30AM - 10:30AM","DUNCAN MCARTHUR RM B101
DUNCAN MCARTHUR RM B101
DUNCAN MCARTHUR RM B101
DUNCAN MCARTHUR RM B101
DUNCAN MCARTHUR RM B101
DUNCAN MCARTHUR RM B101","Wang,Suning
Wang,Suning
Cann,Natalie
Cann,Natalie
Stamplecoskie,Kevin
Stamplecoskie,Kevin",597
 CHEM 326 - Environmental and Green Chemistry ,2698,"001-LEC
Regular","Mo 8:30AM - 9:30AM
Tu 10:30AM - 11:30AM
Th 9:30AM - 10:30AM","JEFFERY RM225
JEFFERY RM225
JEFFERY RM225","Boyd,Alaina
Boyd,Alaina
Boyd,Alaina",48
 CISC 235 - Data Structures ,3489,"001-LEC
Regular","Mo 8:30AM - 9:30AM
Tu 10:30AM - 11:30AM
Th 9:30AM - 10:30AM","BIOSCI AUD
BIOSCI AUD
BIOSCI AUD","Dawes,Robin W
Dawes,Robin W
Dawes,Robin W",201
 CIVL 331 - Structural Steel Design ,1830,"001-LEC
Regular","Mo 8:30AM - 9:30AM
Tu 10:30AM - 11:30AM
Th 9:30AM - 10:30AM","JEFFERY RM127
JEFFERY RM127
JEFFERY RM127","MacDougall,Colin C
MacDougall,Colin C
MacDougall,Colin C",104
 CLST 103 - Introduction to Roman Civilization ,1787,"001-LEC
Regular","Mo 8:30AM - 9:30AM
Tu 10:30AM - 11:30AM
Th 9:30AM - 10:30AM","DUNNING AUD
DUNNING AUD
DUNNING AUD","Zaccagnino,Cristiana
Zaccagnino,Cristiana
Zaccagnino,Cristiana",354
 ECON 110B - Principles of Economics ,1946,"002-LEC
Regular","Mo 8:30AM - 9:30AM
Tu 10:30AM - 11:30AM
Th 9:30AM - 10:30AM","WALTER LIGHT RM205
WALTER LIGHT RM205
WALTER LIGHT RM205","Cromb,Ian James
Cromb,Ian James
Cromb,Ian James",151
 ELEC 483 - Microwave & Rf Circuits & Syst ,4994,"001-LEC
Regular","We 12:30PM - 1:30PM
Th 9:30AM - 10:30AM
Fr 4:30PM - 5:30PM","JEFFERY RM118
JEFFERY RM118
JEFFERY RM118","Freundorfer,Alois Peter
Freundorfer,Alois Peter
Freundorfer,Alois Peter",18
 ENCH 326 - Environmental&Green Chemistry ,2733,"001-LEC
Regular","Mo 8:30AM - 9:30AM
Tu 10:30AM - 11:30AM
Th 9:30AM - 10:30AM","JEFFERY RM225
JEFFERY RM225
JEFFERY RM225","Boyd,Alaina
Boyd,Alaina
Boyd,Alaina",48
 ENGL 835 - Topics in Early Modern Literature and Culture V ,6110,"001-SEM
Regular",Th 9:30AM - 12:00PM,JOHN WATSON RM406,"McKague,Cathleen Meghan",13
 ENPH 239 - Eng. Electricity & Magnetism ,4720,"001-LEC
Regular","Th 9:30AM - 10:30AM
We 5:30PM - 6:30PM
Th 2:30PM - 3:30PM","STIRLING RM C
STIRLING RM C
STIRLING RM B","Duncan,Martin James
Duncan,Martin James
Duncan,Martin James",165
 ENPH 321 - Advanced Mechanics ,4701,"002-TUT
Regular",Th 9:30AM - 10:30AM,STIRLING RM412B,"Lake,Kayll W",35
 EPID 822 - Intermediate Biostatistics ,5961,"001-LEC
Regular",TuTh 9:30AM - 11:00AM,MACINTOSH-CORRY RM E229,"Chen,Bingshu,
O'Callaghan,Christopher John,
Peng,Yingwei Paul",31
 GEOL 104 - The Dynamic Earth ,4053,"005-LAB
Regular",Th 9:30AM - 11:30AM,MILLER RM225,"Layton-Matthews,Daniel",19
