class,number,section,time,room,prof,enrollment
 ECON 110B - Principles of Economics ,1979,"004-LEC
Regular","We 10:00AM - 11:30AM
Fr 8:30AM - 10:00AM","CHERNOFF AUD
CHERNOFF AUD","Barber,Michael Fredrick
Barber,Michael Fredrick",210
 EDST 201 - Theory of Aboriginal Education ,5591,"002-LEC
Education","Tu 3:50PM - 5:50PM
Mo 1:50PM - 5:50PM
We 1:30PM - 3:30PM
We 1:30PM - 3:30PM
Mo 3:50PM - 5:50PM
Mo 3:50PM - 5:50PM
Mo 3:50PM - 5:50PM
Fr 8:30AM - 10:30AM","DUNCAN MCARTHUR RM B180
DUNCAN MCARTHUR RM B180
DUNCAN MCARTHUR RM B180
DUNCAN MCARTHUR RM B180
DUNCAN MCARTHUR RM B180
DUNCAN MCARTHUR RM B180
DUNCAN MCARTHUR RM B180
DUNCAN MCARTHUR RM B180","Morcom,Lindsay
Morcom,Lindsay
Morcom,Lindsay
Morcom,Lindsay
Morcom,Lindsay
Morcom,Lindsay
Morcom,Lindsay
Morcom,Lindsay",22
 EDST 215B - Museum Education ,2463,"001-LEC
Education","Tu 3:50PM - 5:50PM
Mo 1:50PM - 5:50PM
Mo 3:50PM - 5:50PM
Mo 3:50PM - 5:50PM
Mo 3:50PM - 5:50PM
Fr 8:30AM - 10:30AM","TBA
DUNCAN MCARTHUR RM A330
DUNCAN MCARTHUR RM A330
DUNCAN MCARTHUR RM A330
DUNCAN MCARTHUR RM A330
DUNCAN MCARTHUR RM A330","Solar,Angela
Solar,Angela
Solar,Angela
Solar,Angela
Solar,Angela
Solar,Angela",34
 EDST 275 - Understanding Leadership in School Organizations ,2468,"001-LEC
Education","Tu 3:50PM - 5:50PM
Mo 3:50PM - 5:50PM
We 1:30PM - 3:30PM
We 1:30PM - 3:30PM
Mo 3:50PM - 5:50PM
Mo 1:50PM - 5:50PM
Fr 8:30AM - 10:30AM
Mo 3:50PM - 5:50PM","DUNCAN MCARTHUR RM A240
DUNCAN MCARTHUR RM A240
DUNCAN MCARTHUR RM A240
DUNCAN MCARTHUR RM A240
DUNCAN MCARTHUR RM A240
DUNCAN MCARTHUR RM A240
DUNCAN MCARTHUR RM A240
DUNCAN MCARTHUR RM A240","Kutsyuruba,Benjamin
Kutsyuruba,Benjamin
Kutsyuruba,Benjamin
Kutsyuruba,Benjamin
Kutsyuruba,Benjamin
Kutsyuruba,Benjamin
Kutsyuruba,Benjamin
Kutsyuruba,Benjamin",28
 EDST 476B - Except Children & Adolescents ,2477,"001-LEC
Education","Tu 3:50PM - 5:50PM
Mo 1:50PM - 5:50PM
Mo 3:50PM - 5:50PM
Mo 3:50PM - 5:50PM
Fr 8:30AM - 10:30AM
Mo 3:50PM - 5:50PM","DUNCAN MCARTHUR RM A333
DUNCAN MCARTHUR RM A333
DUNCAN MCARTHUR RM A333
DUNCAN MCARTHUR RM A333
DUNCAN MCARTHUR RM A333
DUNCAN MCARTHUR RM A333","Christie,Catherine E
Christie,Catherine E
Christie,Catherine E
Christie,Catherine E
Christie,Catherine E
Christie,Catherine E",12
 ELEC 273 - Numerical Methods and Optimization ,3578,"002-LAB
Regular","Fr 8:30AM - 11:30AM
Fr 8:30AM - 11:30AM
Fr 8:30AM - 11:30AM","BEAMISH-MUNRO RM212
BEAMISH-MUNRO RM212
BEAMISH-MUNRO RM212","Chan,Wai Yip Geoffrey
Chan,Wai Yip Geoffrey
Chan,Wai Yip Geoffrey",54
 ELEC 273 - Numerical Methods and Optimization ,3584,"003-LAB
Regular","Fr 8:30AM - 11:30AM
Fr 8:30AM - 11:30AM
Fr 8:30AM - 11:30AM","BEAMISH-MUNRO RM214
BEAMISH-MUNRO RM214
BEAMISH-MUNRO RM214","Chan,Wai Yip Geoffrey
Chan,Wai Yip Geoffrey
Chan,Wai Yip Geoffrey",28
 ELEC 280 - Fund. Of Electromagnetics ,4955,"006-LAB
Regular","Fr 8:30AM - 11:30AM
Fr 8:30AM - 11:30AM","BEAMISH-MUNRO RM212
BEAMISH-MUNRO RM212","Eren,Suzan Zeynep
Eren,Suzan Zeynep",35
 ELEC 280 - Fund. Of Electromagnetics ,4956,"007-LAB
Regular","Fr 8:30AM - 11:30AM
Fr 8:30AM - 11:30AM","BEAMISH-MUNRO RM214
BEAMISH-MUNRO RM214","Eren,Suzan Zeynep
Eren,Suzan Zeynep",47
 ELEC 280 - Fund. Of Electromagnetics ,4957,"008-LAB
Regular","Fr 8:30AM - 11:30AM
Fr 8:30AM - 11:30AM","BEAMISH-MUNRO RM212
BEAMISH-MUNRO RM212","Eren,Suzan Zeynep
Eren,Suzan Zeynep",41
 ELEC 448 - Introduction To Robotics ,4988,"002-LAB
Regular",Fr 8:30AM - 11:30AM,BEAMISH-MUNRO RM326,"Iqbal,Umar",19
 ENGL 100B - Introduction to Literary Study ,1999,"014-TUT
Regular",Fr 8:30AM - 9:30AM,BIOSCI RM2109,Staff,23
 ENGL 100B - Introduction to Literary Study ,2007,"022-TUT
Regular",Fr 8:30AM - 9:30AM,MACINTOSH-CORRY RM A309,Staff,24
 ENGL 476 - Topics in Postcolonial Literature I ,2041,"001-SEM
Regular","We 10:00AM - 11:30AM
Fr 8:30AM - 10:00AM","MACINTOSH-CORRY RM D211
MACINTOSH-CORRY RM D211","Bongie,Chris
Bongie,Chris",10
 GEOE 319 - Applied Geophysics ,4120,"003-LAB
Regular",Fr 8:30AM - 10:30AM,BRUCE RM234A,"Braun,Alexander",13
 GEOE 362 - Resource Engineering ,5050,"002-LAB
Regular",Fr 8:30AM - 11:30AM,MILLER RM329,"Olivo,Gema Ribeiro",17
 GEOL 319 - Applied Geophysics ,4075,"003-LAB
Regular",Fr 8:30AM - 10:30AM,BRUCE RM234A,"Braun,Alexander",13
 GPHY 250 - The Geography of Canada ,2912,"001-LEC
Regular","We 10:00AM - 11:30AM
Fr 8:30AM - 10:00AM","CHERNOFF RM117
CHERNOFF RM117","Letourneau,Marcus Reginald
Letourneau,Marcus Reginald",94
 GPHY 342 - Remote Sensing II: Digital Image Processing ,2917,"001-LEC
Regular","Mo 10:30AM - 11:30AM
Fr 8:30AM - 9:30AM","MACINTOSH-CORRY RM E230
MACINTOSH-CORRY RM E230","van Ewijk,Karin
van Ewijk,Karin",17
 HIST 122B - Making of the Modern World ,2762,"009-SEM
Regular",Fr 8:30AM - 10:00AM,ELLIS RM218,"Schrama,Grant",28
 HIST 263 - War in Twentieth Century: Myths and Reality ,2910,"001-LEC
Regular","We 10:00AM - 11:30AM
Fr 8:30AM - 10:00AM
Fr 8:30AM - 10:00AM","KINES & HLTH RM100
ELLIS RM321
ELLIS RM333","Cookson-Hills,Claire
Cookson-Hills,Claire
Cookson-Hills,Claire",117
 HLTH 334 - The Politics of Health and Illness ,4147,"004-TUT
Regular",Fr 8:30AM - 9:30AM,KINES & HLTH RM106,Staff,16
 KNPE 345 - The Science and Methodology of Sport Training Conditioning Programs ,4182,"004-LAB
Regular",Fr 8:30AM - 10:00AM,TBA,Staff,9
 LLCU 333 - Acting Out: Sexual and Gender Subversion in Baroque Theatre ,5115,"001-LEC
Regular","We 10:00AM - 11:30AM
Fr 8:30AM - 10:00AM","KINGSTON RM304
KINGSTON RM304","Thompson,Peter E
Thompson,Peter E",8
 MATH 126B - Differential and Integral Calculus ,4326,"001-LEC
Regular","Mo 10:30AM - 11:30AM
We 9:30AM - 10:30AM
Fr 8:30AM - 9:30AM","STIRLING AUD
STIRLING AUD
STIRLING AUD","Thatte,Vaidehee Madhav
Thatte,Vaidehee Madhav
Thatte,Vaidehee Madhav",211
 MATH 126B - Differential and Integral Calculus ,6138,"004-LEC
Regular","Mo 10:30AM - 11:30AM
We 9:30AM - 10:30AM
Fr 8:30AM - 9:30AM","JEFFERY RM234
JEFFERY RM234
JEFFERY RM234","Gu,Yinzheng
Gu,Yinzheng
Gu,Yinzheng",39
 MATH 413 - Introduction to Algebraic Geometry ,5137,"001-LEC
Regular","Mo 10:30AM - 11:30AM
We 9:30AM - 10:30AM
Fr 8:30AM - 9:30AM","JEFFERY RM115
JEFFERY RM115
JEFFERY RM115","Roth,Mike A
Roth,Mike A
Roth,Mike A",17
 MECH 241 - Fluid Mechanics I ,4440,"002-LEC
Regular","Mo 10:30AM - 11:30AM
We 9:30AM - 10:30AM
Fr 8:30AM - 9:30AM","STIRLING RM A
STIRLING RM A
STIRLING RM A","Matovic,Miodrag Darko,
Wong,Jaime
Matovic,Miodrag Darko,
Wong,Jaime
Matovic,Miodrag Darko,
Wong,Jaime",119
 MECH 323 - Machine Design I ,4445,"004-LAB
Regular",Fr 8:30AM - 10:30AM,BEAMISH-MUNRO RM109,"Kim,Il Yong",54
 MICR 121 - Microbiology for Nursing Students ,1084,"003-LAB
Regular",Fr 8:30AM - 12:30PM,MEDS 400B - Microbiol & Bioche,"Sheth,Prameet",133
 MINE 267 - Applied Chemistry for Mining ,5240,"001-LEC
Regular","Mo 10:30AM - 11:30AM
We 9:30AM - 10:30AM
Fr 8:30AM - 9:30AM","GOODWIN RM247
GOODWIN RM247
GOODWIN RM247","Pickles,Christopher A
Pickles,Christopher A
Pickles,Christopher A",26
 MINE 325 - Applied Rock Mechanics ,5303,"007-LAB
Regular",Fr 8:30AM - 10:30AM,GOODWIN LAB,"Archibald,James F",2
 MTHE 393 - Engineering Design and Practice for Mathematics and Engineering ,4417,"001-LEC
Regular",Fr 8:30AM - 9:30AM,JEFFERY RM118,"Alajaji,Fady I",59
 MTHE 493B - Engineering Math Project ,4419,"002-TUT
Regular",Fr 8:30AM - 9:30AM,JEFFERY RM101,"Mansouri,Abdol-Reza",35
 MUSC 293 - Theory and Analysis IIB ,4573,"001-LEC
Regular","Mo 10:30AM - 11:30AM
We 9:30AM - 10:30AM
Fr 8:30AM - 9:30AM","HARRISON-LECAINE RM124
HARRISON-LECAINE RM124
HARRISON-LECAINE RM124","Lind,Stephanie
Lind,Stephanie
Lind,Stephanie",44
 MUSC 338 - Music in Senior High School ,5118,"001-LEC
Regular","We 10:00AM - 11:30AM
Fr 8:30AM - 10:00AM","HARRISON-LECAINE RM120
HARRISON-LECAINE RM120","Runions,Gregory
Runions,Gregory",18
 NSCI 414 - Progress in Neuroanatomy and Neuropharmacology ,1138,"001-LEC
Regular","Mo 10:30AM - 11:30AM
We 9:30AM - 10:30AM
Fr 8:30AM - 9:30AM","BIOSCI RM1103
BIOSCI RM1103
BIOSCI RM1103","Kawaja,Michael D,
Normandeau,Catherine,
Reynolds,James N
Kawaja,Michael D,
Normandeau,Catherine,
Reynolds,James N
Kawaja,Michael D,
Normandeau,Catherine,
Reynolds,James N",96
 PHAR 230 - Pharmacology for the Health Sciences ,1145,"001-LEC
Regular","Tu 3:30PM - 4:30PM
Th 2:30PM - 3:30PM
Fr 8:30AM - 9:30AM","WALTER LIGHT RM205
WALTER LIGHT RM205
WALTER LIGHT RM205","Elbatarny,Hisham,
Philbrook,Nicola Anne,
Racz,William J
Elbatarny,Hisham,
Philbrook,Nicola Anne,
Racz,William J
Elbatarny,Hisham,
Philbrook,Nicola Anne,
Racz,William J",159
 PHIL 111B - Great Works of Philosophy ,4625,"001-LEC
Regular","Mo 10:30AM - 11:30AM
We 9:30AM - 10:30AM
Fr 8:30AM - 9:30AM","MILLER RM201
MILLER RM201
MILLER RM201","Sismondo,Sergio
Sismondo,Sergio
Sismondo,Sergio",90
 PHIL 257B - Ethics ,4628,"001-LEC
Regular","We 10:00AM - 11:30AM
Fr 8:30AM - 10:00AM","MACINTOSH-CORRY RM B201
MACINTOSH-CORRY RM B201","Sypnowich,Christine
Sypnowich,Christine",94
 POLS 261 - International Politics ,5160,"001-LEC
Regular","Mo 10:30AM - 11:30AM
We 9:30AM - 10:30AM
Fr 8:30AM - 9:30AM","BIOSCI AUD
BIOSCI AUD
BIOSCI AUD","von Hlatky,Stefanie
von Hlatky,Stefanie
von Hlatky,Stefanie",281
 POLS 264 - World Politics in Historical Perspective ,5175,"001-LEC
Regular","Mo 10:30AM - 11:30AM
We 9:30AM - 10:30AM
Fr 8:30AM - 9:30AM","DUPUIS AUD
DUPUIS AUD
DUPUIS AUD","Nossal,Kim Richard
Nossal,Kim Richard
Nossal,Kim Richard",89
 POLS 470 - Seminar in International Politics ,5208,"001-SEM
Regular",Fr 8:30AM - 11:30AM,MACINTOSH-CORRY RM D405,"Pasch,Korey",17
 PROF 410B - Theory and Professional Practice (PJ) ,2573,"001-LEC
Education","Fr 11:00AM - 12:30PM
Fr 8:30AM - 10:30AM
Fr 11:00AM - 12:30PM
Mo 11:00AM - 12:30PM","DUNCAN MCARTHUR RM A242
DUNCAN MCARTHUR RM A242
DUNCAN MCARTHUR RM A242
DUNCAN MCARTHUR RM A242","Christou,Aglaia Glenda
Christou,Aglaia Glenda
Christou,Aglaia Glenda
Christou,Aglaia Glenda",13
 PROF 410B - Theory and Professional Practice (PJ) ,2574,"002-LEC
Education","Fr 11:00AM - 12:30PM
Fr 8:30AM - 10:30AM
Fr 11:00AM - 12:30PM
Mo 11:00AM - 12:30PM","DUNCAN MCARTHUR RM A234
DUNCAN MCARTHUR RM A234
DUNCAN MCARTHUR RM A234
DUNCAN MCARTHUR RM A234","Martin,Andrea K
Martin,Andrea K
Martin,Andrea K
Martin,Andrea K",16
 PROF 410B - Theory and Professional Practice (PJ) ,2575,"003-LEC
Education","Fr 11:00AM - 12:30PM
Fr 8:30AM - 10:30AM
Fr 11:00AM - 12:30PM
Mo 11:00AM - 12:30PM","DUNCAN MCARTHUR RM A239
DUNCAN MCARTHUR RM A239
DUNCAN MCARTHUR RM A239
DUNCAN MCARTHUR RM A239","Champagne,Linda
Champagne,Linda
Champagne,Linda
Champagne,Linda",19
 PROF 410B - Theory and Professional Practice (PJ) ,2576,"004-LEC
Education","Fr 11:00AM - 12:30PM
Fr 8:30AM - 10:30AM
Fr 11:00AM - 12:00PM
Mo 11:00AM - 12:30PM","DUNCAN MCARTHUR RM A227W
DUNCAN MCARTHUR RM A227W
DUNCAN MCARTHUR RM A227W
DUNCAN MCARTHUR RM A227W","East,Jim
East,Jim
East,Jim
East,Jim",22
 PROF 410B - Theory and Professional Practice (PJ) ,2577,"005-LEC
Education","Fr 11:00AM - 12:30PM
Fr 8:30AM - 10:30AM
Fr 11:00AM - 12:30PM
Mo 11:00AM - 12:30PM","DUNCAN MCARTHUR RM A241
DUNCAN MCARTHUR RM A241
DUNCAN MCARTHUR RM A241
DUNCAN MCARTHUR RM A241","Field,Caroline
Field,Caroline
Field,Caroline
Field,Caroline",17
 PROF 411B - Theory and Professional Practice (IS) ,2585,"001-LEC
Education","Fr 9:00AM - 10:30AM
Fr 8:30AM - 10:30AM
Fr 1:00PM - 2:30PM
Fr 9:00AM - 10:30AM
Fr 9:00AM - 10:30AM","DUNCAN MCARTHUR RM A236
DUNCAN MCARTHUR RM A236
TBA
DUNCAN MCARTHUR RM A236
DUNCAN MCARTHUR RM A236","Roy,Suparna Sona
Roy,Suparna Sona
Roy,Suparna Sona
Roy,Suparna Sona
Roy,Suparna Sona",17
 PROF 411B - Theory and Professional Practice (IS) ,2588,"004-LEC
Education","Fr 9:00AM - 10:30AM
Fr 8:30AM - 10:30AM
Fr 1:00PM - 2:30PM
Fr 9:00AM - 10:30AM
Fr 9:00AM - 10:30AM","DUNCAN MCARTHUR RM A334
DUNCAN MCARTHUR RM A334
TBA
DUNCAN MCARTHUR RM A334
DUNCAN MCARTHUR RM A334","Merchant,Stefan Denis
Merchant,Stefan Denis
Merchant,Stefan Denis
Merchant,Stefan Denis
Merchant,Stefan Denis",16
 PROF 411B - Theory and Professional Practice (IS) ,2589,"005-LEC
Education","Fr 9:00AM - 10:30AM
Fr 8:30AM - 10:30AM
Fr 1:00PM - 2:30PM
Fr 9:00AM - 10:30AM
Fr 9:00AM - 10:30AM","DUNCAN MCARTHUR RM A240
DUNCAN MCARTHUR RM A240
TBA
DUNCAN MCARTHUR RM A240
DUNCAN MCARTHUR RM A240","Alderson,Craig
Alderson,Craig
Alderson,Craig
Alderson,Craig
Alderson,Craig",17
 PROF 411B - Theory and Professional Practice (IS) ,2593,"009-LEC
Education","Fr 9:00AM - 10:30AM
Fr 8:30AM - 10:30AM
Fr 1:00PM - 2:30PM
Fr 9:00AM - 10:00AM
Fr 9:00AM - 10:30AM","DUNMCAN MCARTHUR RM B307
DUNMCAN MCARTHUR RM B307
TBA
DUNMCAN MCARTHUR RM B307
DUNMCAN MCARTHUR RM B307","Howe,Michael
Howe,Michael
Howe,Michael
Howe,Michael
Howe,Michael",18
 PROF 411B - Theory and Professional Practice (IS) ,2594,"010-LEC
Education","Fr 9:00AM - 10:30AM
Fr 8:30AM - 10:30AM
Fr 1:00PM - 2:30PM
Fr 9:00AM - 10:30AM
Fr 9:00AM - 10:30AM","DUNCAN MCARTHUR RM A333
DUNCAN MCARTHUR RM A333
TBA
DUNCAN MCARTHUR RM A333
DUNCAN MCARTHUR RM A333","Shaughnessy,Mary
Shaughnessy,Mary
Shaughnessy,Mary
Shaughnessy,Mary
Shaughnessy,Mary",16
 PROF 411B - Theory and Professional Practice (IS) ,5677,"012-LEC
Education","Fr 9:00AM - 10:30AM
Fr 8:30AM - 10:30AM
Fr 1:00PM - 2:30PM
Fr 9:00AM - 10:30AM
Fr 9:00AM - 10:30AM","DUNCAN MCARTHUR RM B180
DUNCAN MCARTHUR RM B180
TBA
DUNCAN MCARTHUR RM B180
DUNCAN MCARTHUR RM B180","Pitblado,Michael David
Pitblado,Michael David
Pitblado,Michael David
Pitblado,Michael David
Pitblado,Michael David",22
 PROF 411B - Theory and Professional Practice (IS) ,5746,"013-LEC
Education","Fr 9:00AM - 10:30AM
Fr 8:30AM - 10:30AM
Fr 1:00PM - 2:30PM
Fr 9:00AM - 10:30AM
Fr 9:00AM - 10:30AM","DUNCAN MCARTHUR RM342A
DUNCAN MCARTHUR RM342A
TBA
DUNCAN MCARTHUR RM342A
DUNCAN MCARTHUR RM342A","FitzPatrick,Nancy J
FitzPatrick,Nancy J
FitzPatrick,Nancy J
FitzPatrick,Nancy J
FitzPatrick,Nancy J",17
 PSYC 203 - Research Methods in Psychology ,3366,"010-LAB
Regular",Fr 8:30AM - 10:00AM,HUMPHREY RM219,Staff,20
 RELS 235 - Religion and Environment ,1031,"001-LEC
Regular",Fr 8:30AM - 11:30AM,MACDONALD RM1,"Kelly,Jason",85
 SOCY 458 - Law and Ideology ,1224,"001-SEM
Regular",Fr 8:30AM - 11:30AM,MACINTOSH-CORRY RM D326,"Conway,Helen Marie",20
 SPAN 333 - Acting Out: Sexual and Gender Subversion in Baroque Theatre ,5125,"001-LEC
Regular","We 10:00AM - 11:30AM
Fr 8:30AM - 10:00AM","KINGSTON RM304
KINGSTON RM304","Thompson,Peter E
Thompson,Peter E",8
 PROF 411B - Theory and Professional Practice (IS) ,2585,"001-LEC
Education","Fr 9:00AM - 10:30AM
Fr 8:30AM - 10:30AM
Fr 1:00PM - 2:30PM
Fr 9:00AM - 10:30AM
Fr 9:00AM - 10:30AM","DUNCAN MCARTHUR RM A236
DUNCAN MCARTHUR RM A236
TBA
DUNCAN MCARTHUR RM A236
DUNCAN MCARTHUR RM A236","Roy,Suparna Sona
Roy,Suparna Sona
Roy,Suparna Sona
Roy,Suparna Sona
Roy,Suparna Sona",17
 PROF 411B - Theory and Professional Practice (IS) ,2586,"002-LEC
Education","Fr 9:00AM - 10:30AM
Fr 12:45PM - 2:45PM
Fr 1:00PM - 2:30PM
Fr 9:00AM - 10:30AM
Fr 9:00AM - 10:30AM","DUNCAN MCARTHUR RM A339
DUNCAN MCARTHUR RM A339
TBA
DUNCAN MCARTHUR RM A339
DUNCAN MCARTHUR RM A339","Cooper,Amanda
Cooper,Amanda
Cooper,Amanda
Cooper,Amanda
Cooper,Amanda",22
 PROF 411B - Theory and Professional Practice (IS) ,2587,"003-LEC
Education","Fr 9:00AM - 10:30AM
Fr 12:45PM - 2:45PM
Fr 1:00PM - 2:30PM
Fr 9:00AM - 10:30AM
Fr 9:00AM - 10:30AM","DUNCAN MCARTHUR RM A227W
DUNCAN MCARTHUR RM A227W
TBA
DUNCAN MCARTHUR RM A227W
DUNCAN MCARTHUR RM A227W","Godden,Lorraine
Godden,Lorraine
Godden,Lorraine
Godden,Lorraine
Godden,Lorraine",18
 PROF 411B - Theory and Professional Practice (IS) ,2588,"004-LEC
Education","Fr 9:00AM - 10:30AM
Fr 8:30AM - 10:30AM
Fr 1:00PM - 2:30PM
Fr 9:00AM - 10:30AM
Fr 9:00AM - 10:30AM","DUNCAN MCARTHUR RM A334
DUNCAN MCARTHUR RM A334
TBA
DUNCAN MCARTHUR RM A334
DUNCAN MCARTHUR RM A334","Merchant,Stefan Denis
Merchant,Stefan Denis
Merchant,Stefan Denis
Merchant,Stefan Denis
Merchant,Stefan Denis",16
 PROF 411B - Theory and Professional Practice (IS) ,2589,"005-LEC
Education","Fr 9:00AM - 10:30AM
Fr 8:30AM - 10:30AM
Fr 1:00PM - 2:30PM
Fr 9:00AM - 10:30AM
Fr 9:00AM - 10:30AM","DUNCAN MCARTHUR RM A240
DUNCAN MCARTHUR RM A240
TBA
DUNCAN MCARTHUR RM A240
DUNCAN MCARTHUR RM A240","Alderson,Craig
Alderson,Craig
Alderson,Craig
Alderson,Craig
Alderson,Craig",17
